1 1407
2 2858
3 4187
4 4710
5 6773
6 8006
7 9393
8 10632
9 11844
10 13206
11 14538
12 15774
13 17197
14 18486
15 19885
16 21089
17 22240
18 23721
19 24932
20 25958
21 27740
22 28005
23 28166
24 31408
25 33061
26 34228
27 35207
28 36381
29 37922
30 39647
